Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
GU,Manure applied to Soils,40,Chile,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,25509829.14,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,351,China,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,5004596877,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,351,China,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,1501379063,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,351,China,723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,1000919375,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,96,"China, Hong Kong SAR",72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,992379.2707,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,96,"China, Hong Kong SAR",723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,297713.7812,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,96,"China, Hong Kong SAR",723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,198475.8541,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,128,"China, Macao SAR",72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,154620.8244,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,128,"China, Macao SAR",723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,46386.2473,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,128,"China, Macao SAR",723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,30924.1649,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,41,"China, mainland",72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,4955951836,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,41,"China, mainland",723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,1486785551,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,41,"China, mainland",723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,991190367.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,214,"China, Taiwan Province of",72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,47498040.25,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,214,"China, Taiwan Province of",723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,14249412.08,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,214,"China, Taiwan Province of",723811,Manure applied to soils that volatilises (N content),1755,All Animals,2015,2015,kg,9499608.05,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,44,Colombia,72381,Manure applied to soils (N content),1755,All Animals,2015,2015,kg,340790833.2,A,"Aggregate, may include official, semi-official, estimated or calculated data"
GU,Manure applied to Soils,44,Colombia,723812,Manure applied to soils that leaches (N content),1755,All Animals,2015,2015,kg,102237250,A,"Aggregate, may include official, semi-official, estimated or calculated data"
