iso3c,n_amr_events,health_expend_perc,ln_migrant_pop_per_capita,ln_population,ab_export_bin,english_spoken,human_consumption_ddd,ln_livestock_consumption_kg_per_pcu,ln_livestock_pcu,ln_ab_export_per_capita,ln_ab_import_per_capita,ln_gdp_per_capita,ln_tourism_outbound_per_capita,ln_tourism_inbound_per_capita,ln_pubcrawl_per_capita,ln_promed_mentions_per_capita
LIE,0,NA,-0.46683810836868567,10.531295891787734,NA,0,NA,NA,NA,1.7723794704949818,NA,12.02748973119834,NA,NA,-14.038281203938208,-7.097308687302587
LTU,0,6.47636009,-3.0612381311489787,14.8819129667211,1,0,7.561760902404785,-10.841559816313596,21.81673140717514,-1.194982547664453,-0.6523834758093926,9.564450076161208,0.3151306352613544,0.5525897164820863,-10.751575065996752,-8.667304868298908
LUX,0,6.18960579,-0.826184116257087,13.252696661527155,NA,1,11.005009651184082,-10.344103648962259,18.70716133452466,1.7723794704949818,NA,11.526596554064247,NA,NA,-14.038281203938208,-7.8914044958177305
MDG,0,5.50418518,-6.627438605545038,17.003270795028875,0,1,NA,-10.11380392654766,21.205661440142617,1.7723794704949818,-6.982813426298584,6.146832936740442,NA,NA,-12.48184228388274,-8.955761284047453
MWI,0,9.33346903,-4.35450043806454,16.633628359000447,1,1,NA,-10.087828271613782,20.753673684862605,-5.970176452867057,-2.901704528836747,5.941741159616052,NA,NA,-12.727132633881123,-9.931667992997907
MYS,5,3.89755195,-2.4882171389614114,17.225699461133807,1,1,4.326552391052246,-9.472422520100281,22.341196197362603,-0.954266345775422,0.41621364570868247,9.205854538305594,NA,NA,-11.646239811264506,-9.570782413285485
MDV,0,8.89896749,-1.5759013306854308,13.027865867294517,NA,1,NA,NA,NA,1.7723794704949818,NA,9.10868303696059,NA,NA,-14.038281203938208,-8.539229497562378
MLI,0,4.11122936,-3.871649422658561,16.674206905182835,0,0,NA,-10.050118177250289,21.075696494022548,1.7723794704949818,-5.571975193895058,6.621632781117567,NA,NA,-11.820788422472463,-9.554571267165198
MLT,0,9.35561461,-2.373898516862969,13.005948655179997,1,1,NA,-9.548049617827857,17.96167594063992,1.2729260392985928,1.6233893047686372,10.089012756536908,0.024299433316525974,1.6779221009008822,-14.038281203938208,-8.085967729351871
MHL,0,22.62079944,-2.861661323527488,10.958478794099808,NA,0,NA,NA,NA,1.7723794704949818,NA,8.075220919083634,NA,NA,-14.038281203938208,-6.130165056797506
MRT,0,4.64444537,-3.3771314997206905,15.213313688406364,0,0,NA,-9.96137505310536,21.17893868522013,1.7723794704949818,-4.949428131131381,7.084562154438335,NA,NA,-10.589815650303906,-8.754975405061575
MUS,0,5.78975132,-3.7880502212921194,14.04868760499019,1,1,NA,-9.584918461303971,14.778189578600605,-5.1096691981550535,-2.2504951565492615,9.133507631279885,NA,-0.07276032562001213,-14.038281203938208,-7.6319553224778645
MEX,11,5.65276786,-4.626257490389196,18.618369107589718,1,0,2.411661386489868,-9.686612718892896,23.837967939982487,-0.31013010946348896,0.3804489263736989,9.170138221878446,-0.24910798179288718,-0.33546877055128926,-11.44144378913222,-10.23402182950691
FSM,0,12.20112314,-3.67660376205116,11.59813939418471,NA,1,NA,NA,NA,1.7723794704949818,NA,7.9746626433881955,NA,NA,-14.038281203938208,-7.155488137694393
MDA,0,10.17688536,-3.213686320401177,15.083614675529898,0,0,NA,-10.02524497150451,19.874194268935938,1.7723794704949818,-0.09887284380577807,7.686728545791444,-2.929888510371933,NA,-11.326190426667067,-9.369881870020528
MCO,0,2.02911782,-0.5836169937040774,10.53789271307231,NA,1,NA,NA,NA,1.7723794704949818,NA,12.019368692107241,NA,NA,-14.038281203938208,-9.4392804244042
MNG,0,3.8824954,-5.136812478388514,14.913602377878684,0,0,NA,-9.97920699794785,19.34150202540893,1.7723794704949818,-1.475728403401755,8.273484411442697,NA,-1.8595178412276494,-9.515255785125165,-8.490355414345164
MNE,0,NA,-2.019900547492745,13.340950966063946,1,0,NA,-10.306726139599066,17.43061669535149,-3.579692521855536,1.6060129633679365,8.78175084791459,NA,NA,-14.038281203938208,-8.819162389014906
MAR,1,5.41232575,-5.970318672474738,17.361200789532237,1,0,6.029621601104736,-9.739980620324802,21.995930909970635,-2.530342609401575,0.3833372560756957,7.9789642594226375,NA,-1.1903229531349473,-11.628147047172469,-9.266212030228461
MOZ,1,5.18223307,-4.798297716506491,17.112901844859863,0,0,NA,-10.235134117224328,20.990780197966867,1.7723794704949818,-5.138535935279389,6.3798835730109005,NA,-2.806360290457779,-12.211476885251107,-8.625343458573317
MMR,0,5.19360297,-6.57733519362781,17.779760216065576,0,0,NA,-10.201999142337222,22.4842815981297,1.7723794704949818,-4.177821663163462,7.032626746288391,NA,NA,-12.91086836037839,-9.839176388961334
NAM,0,9.86479841,-3.205020914457463,14.654878775960116,NA,1,NA,-10.105483977814762,19.7820329045279,1.7723794704949818,NA,8.523749603552567,NA,-0.44193528158494233,-10.0825464413017,-12.068806723155548
NRU,0,11.35382965,-1.3674745735230582,9.431481920619719,NA,1,NA,NA,NA,1.7723794704949818,NA,8.988865129257114,NA,NA,-14.038281203938208,-7.2342573432835
