iso3c,n_amr_events,pubs_sum,gdp_dollars,health_expend_perc,migrant_pop_perc,population,english_spoken,human_consumption_ddd,livestock_consumption_kg_per_pcu,livestock_pcu,country,region,continent,ab_export_perc,ab_import_perc,gdp_per_capita,tourism_outbound_per_capita,tourism_inbound_per_capita,pubs_sum_per_capita
HRV,21,114.1757902,49519006809.2676,7.15420884,13.723533425127581,4203604,FALSE,10.596867561340332,8.38765475527245e-5,529796220.75557995,Croatia,Southern Europe,Europe,0.10932374608908414,0.06497734862480756,11780.131241969415,0.0010360157617130444,0.013288121335882258,2.716140488019328e-5
HTI,0,22.52691792,8724656126.49849,5.3723227,0.36958388831533734,10695542,FALSE,NA,3.9638947866204e-5,406483650.9452382,Haiti,Caribbean,Americas,0,4.0408469387032527e-4,815.7282844103169,NA,1.112613086835618e-4,2.1061969482238486e-6
HUN,0,297.6801813,123074092703.141,7.12069992,4.56802520525188,9843028,FALSE,7.2820863723754883,1.12998168866737e-4,1867519025.4773786,Hungary,Eastern Europe,Europe,0.07055011219090142,0.020088274767650613,12503.682068479437,0.0017551509555799292,0.004911598341485974,3.0242744539586802e-5
IDN,4,1169.008608,860854235065.079,3.0053613,0.12727063088019913,258383256,FALSE,3.6412718296051025,5.67762053399779e-5,9981878137.183952,Indonesia,South-Eastern Asia,Asia,2.7941431917543624e-5,0.010616502106548955,3331.695127586282,NA,4.0277377726055126e-5,4.524320291095024e-6
IMN,0,5.756801982,6792417112.29947,NA,54.32996131388615,83234,NA,NA,NA,NA,Isle of Man,Northern Europe,Europe,NA,NA,81606.28003339344,NA,NA,6.916406735228392e-5
IND,113,3702.315134,2103587813812.75,3.59770551,0.40002674406421707,1310152403,TRUE,4.957768440246582,4.3224311846907e-5,38923734235.481636,India,Southern Asia,Asia,0.04239593000558171,0.04667823267003414,1605.6054310902562,NA,NA,2.8258660027050305e-6
CCK,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA
CXR,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christmas Island,NA,Oceania,NA,NA,NA,NA,NA,NA
IRL,34,203.237572,291092489805.942,7.44604196,15.871263816321587,4701957,TRUE,11.411356925964355,4.62713853376123e-5,2758424239.0602484,Ireland,Northern Europe,Europe,0.22729285437459415,0.046813994933653666,61908.794530860665,0.0015087334911825013,NA,4.322403884169932e-5
IRN,87,846.4375545,385874474398.59,7.76057939,3.4734909697732443,78492215,FALSE,NA,1.30725375565277e-4,4508011104.436816,Iran,Southern Asia,Asia,2.9121387252976225e-5,0.02855956258100774,4916.085937931424,8.433957431319781e-5,6.67199925495796e-5,1.07837134485248e-5
